coordinate_type,x,y,level
translaminar_screw,0.48,0.184,s1
translaminar_screw,0.48,0.224,l5
translaminar_screw,0.48,0.26,l4
translaminar_screw,0.48,0.298,l3
translaminar_screw,0.48,0.335,l2
translaminar_screw,0.48,0.372,l1
translaminar_screw,0.48,0.407,t12
translaminar_screw,0.48,0.445,t11
translaminar_screw,0.48,0.48,t10
translaminar_screw,0.48,0.511,t9
translaminar_screw,0.48,0.544,t8
translaminar_screw,0.48,0.578,t7
translaminar_screw,0.48,0.61,t6
translaminar_screw,0.48,0.642,t5
translaminar_screw,0.48,0.671,t4
translaminar_screw,0.48,0.701,t3
translaminar_screw,0.48,0.725,t2
translaminar_screw,0.48,0.749,t1
translaminar_screw,0.48,0.773,c7
translaminar_screw,0.48,0.792,c6
translaminar_screw,0.48,0.81,c5
translaminar_screw,0.48,0.829,c4
translaminar_screw,0.48,0.849,c3
translaminar_screw,0.48,0.869,c2
translaminar_screw,0.48,0.885,c1
